スーパーマリオ 64 (SM64) Beta Revival,Alpha Test,MrIsan1,,,スーパーマリオ 64 Beta Revival Alpha-Test SM64 Hack by Mrlsan1,
Super Mario -4,1.0,aglab2 & Arthurtilly & biobak & Mushie64 & TheGael95,30,2022-12-25,sm_4,
Waifu Cauldron,0.9.2,MorningStorm,112,2022-12-18,Waifu_Cauldron_v0.9.2,
Waifu Cauldron,0.9.3,MorningStorm,112,2022-12-19,Waifu_Cauldron_v0.9.3,
Waifu Cauldron,0.9.4,MorningStorm,112,2022-12-24,Waifu_Cauldron_v0.9.4,
Phenomena,1.3,Nobbie & various,120,2022-12-10,Phenomena v1.3,
Star Road Retooled,OE 1.1.1,Skelux & Pyro Jay,130,2022-12-24,Star_Road_Retooled_Old_Engine_1.1.1,
SM64 Darker Side Definitive Edition Green Stars,1.0,Joan Bros & LeonixGamerIII,120,2022-12-30,SM64_Darker_Side_Definitive_Edition_Green_Stars,
LJZ's Galaxy Trip,1.0,LiuZijun,123,2023-01-01,LZJs Galaxy Trip Release,
Super Joan Bros 64 Green Stars,1.0,Joan Bros,40,2023-01-02,Super_Joan_bros_64_gs_lol,
Waifu Cauldron,1.0,MorningStorm,119,2023-01-14,Waifu_Cauldron_v1.0,
Super Mario Rainbow Road Green Comet,1.0,Ozsef,,2023-01-08,Rainbow Road Green Comet v1.0,
Super Mario Rainbow Road Green Comet,1.0.1,Ozsef,,2023-01-08,Rainbow Road Green Comet v1.0.1,
Super Mario Rainbow Road Green Comet,1.0.2,Ozsef,,2023-01-08,Rainbow Road Green Comet v1.0.2,
Super Mario Rainbow Road Green Comet,1.0.3,Ozsef,,2023-01-08,Rainbow Road Green Comet v1.0.3,
Super Mario Rainbow Road Green Comet,1.0.4,Ozsef,,2023-01-10,Rainbow Road Green Comet v1.0.4,
Super Mario Rainbow Road Green Comet,1.0.5,Ozsef,,2023-01-14,Rainbow Road Green Comet v1.0.5,
Super Mario Rainbow Road Green Comet,1.0.6,Ozsef,,2023-01-28,Rainbow_Road_Green_Comet_v1.0.6,
Destinctive Atmosphere,1.0,Cryogen,2,2023-01-31,Destinctive_Atmosphere,
bullshit kingdom,1.0,Viper,6,2023-02-05,bullshit_kingdom,
Mario and the Mystic Purple Stars,1.5,Progji,115,2023-02-04,MatMPS_1.5,
Wallkick Challenge 2,1.0,Redmat527,,2023-01-21,Wallkick_Challenge_2,
Super Mario Tree of Dreams,1.4,AntLionAlpha,80,2023-01-24,Tree_of_Dreams,
Kaizo Cube,1.0.4,Cavin856,7,2022-12-31,Kaizo_Cube_1.0.4,
SM64 The Green Stars,3.1 Classic Edition,Kampel125 (& others),130,2023-01-22,SM64_The_Green_Stars_v3.1_Classic,
SM64 The Green Stars,3.1 Definitive Edition,Kampel125 (& others),130,2023-01-22,SM64_The_Green_Stars_v3.1_Definitive,
Little Comets,1.1,Tomatobird8,31,2023-03-01,Little Comets 1.1,
Cavins_Dank_Rave,1.0,Cavin856,,2023-01-01,Cavins_Dank_Rave,
LZJ's Galaxy Trip EE,1.0,LiuZijun,118,2023-01-21,LZJs Galaxy Trip EE,
Marios Treasure Dome - The Green Comet,1.0,Cryogen,50,2023-01-07,Marios_Treasure_Dome_-_The_Green_Comet,
Marios Treasure Dome - The Green Comet,1.1,Cryogen,50,2023-01-20,Marios_Treasure_Dome_-_The_Green_Comet_v1.1,
Motos Factory,1.0,Benedani & chrisbrutalagresion & curlythedingus & Hornet & newsupkaizo & TheGreatestRoman,11,2023-01-13,Motos Factory V1.0,
SM64 Peach and the Pink Star,N64 Compatible,Woissil,30,2023-01-21,Peach_and_the_pink_star_N64_compatible,
Phenomena,1.3.1,Nobbie & various,120,2023-01-06,Phenomena_v1.3.1,
Phenomena,1.3.2,Nobbie & various,120,2023-01-08,Phenomena_1.3.2,
The Super Mario Bros. Super Show 64,Demo,PastaPower,,,SMBSS64_Demo,
The Super Mario Bros. Super Show 64,Demo v2,PastaPower,,,SMBSS64_Demo_V2,
The Super Mario Bros. Super Show 64,Demo Widescreen,PastaPower,,,SMBSS64_Demo_Widescreen,
Super Mario 74,1.12,Lugmillord (& others),151,2023-01-21,Super_Mario_74_v1.12,
Super Mario Rainbow Road,2.1,Skilllux (& others),60,2023-01-11,Super_Mario_Rainbow_Road_v2.1,
Omega Mario 64,1.0,Omega_Merk,121,2023-02-07,Omega Mario 64,
Super Joan Bros 64 Redone,Beta,Joan Bros,40,2023-03-06,Super_Joan_bros_64_redone_tb_omg,
Super Joan Bros 64 Redone,1.0,Joan Bros,40,2023-03-07,Super_Joan_bros_64_redone,
Super Joan Bros 64 Redone,1.0 TB Fix,Joan Bros & Tomatobird8,40,2023-03-07,Super_Joan_bros_64_redone_tb_fix,
Super Joan Bros 64 Redone,1.1,Joan Bros,40,2023-03-08,Super_Joan_bros_64_redone_1.1,
Super Mario Invasion of Chuckya,1.0.0,Kougahai,,2023-02-24,SM_Invasion_of_Chuckya ver1.0.0,
Super Mario Invasion of Chuckya,1.0.1,Kougahai,,2023-02-25,SM_Invasion_of_Chuckya ver1.0.1,
Super Mario Invasion of Chuckya,1.0.2,Kougahai,,2023-02-25,SM_Invasion_of_Chuckya ver1.0.2,
Super Mario Invasion of Chuckya,1.0.3,Kougahai,,2023-02-25,SM_Invasion_of_Chuckya ver1.0.3,
Super Mario Invasion of Chuckya,1.0.4,Kougahai,,2023-02-26,SM_Invasion_of_Chuckya ver1.0.4,
Super Mario Invasion of Chuckya,1.0.5,Kougahai,,2023-02-26,SM_Invasion_of_Chuckya ver1.0.5,
Super Mario Invasion of Chuckya,1.0.6,Kougahai,,2023-02-28,SM_Invasion_of_Chuckya ver1.0.6,
Super Mario Invasion of Chuckya,1.0.7,Kougahai,,2023-03-01,SM_Invasion_of_Chuckya ver1.0.7,
Super Mario Invasion of Chuckya,1.0.8,Kougahai,,2023-03-03,SM_Invasion_of_Chuckya ver1.0.8,
SM64 Randomizer,1.1,Arthurtilly,120,2023-03-10,SM64 Randomizer v1.1,
Victory Inquisition,1.1,ShiN3,,2023-02-26,Victory_Inquisition_v1.1,
Victory Fuck,1.3,ShiN3,2,2021-05-11,Victory_Fuck_v1.3,
Lost Lunatic Trials,1.0.7,ShiN3,65,2023-02-24,Lost Lunatic Trials v1.0.7,
Mario & Flybro: The Mysterious Mansion,1.0,Hyena_Chan,33,2023-02-20,MF_Mysterious_Mansion,
Drac 64,1.0,Petalite,35,2023-02-19,Drac_64,
Dark Signs 64,1.0,Viper,,2023-02-13,dark_signs_64,
Dark Stars The Dark Comet,1.0,Viper,,2023-02-13,darkstars_the_dark_comet,
All Star Adventure Extreme Edition,1.1,,45,2023-02-25,ASAEE-1.1,
SM64 Sapphire Green Comet,1.0,KingToad64 & Woissil,,2023-02-16,SM64_Sapphire_Green_Comet,
Dog Collab,1.0,AshleyJPEG & BeverlyBean & Cheezepin & CowQuack & emu & Fazana & KeyBlader & MrComit & Rovert & someone2639 & thecozies & YoshiMilkman,73,2023-02-24,Dog_Collab,
Dog Collab,1.0.1,AshleyJPEG & BeverlyBean & Cheezepin & CowQuack & emu & Fazana & KeyBlader & MrComit & Rovert & someone2639 & thecozies & YoshiMilkman,73,2023-02-24,Dog Collab 1.0.1,
Dog Collab,1.1.0,AshleyJPEG & BeverlyBean & Cheezepin & CowQuack & emu & Fazana & KeyBlader & MrComit & Rovert & someone2639 & thecozies & YoshiMilkman,73,2023-02-24,Dog Collab 1.1.0,
Kaizo Star Revenge Redone 1.3,1.0,BroDute & KingToad64,,2023-02-12,Kaizo Redone 1.3,
Kaizo Star Revenge Redone 1.3,1.0 fix,BroDute & KingToad64,,2023-02-12,Kaizo Redone 1.3 (1),
Kaizo Star Revenge Redone 1.3,1.0 fix2,BroDute & KingToad64,,2023-02-12,Kaizo Redone 1.3 (2),
Super Mario The Stolen Stars,1.0,JakeDower,,2023-02-23,Super Mario The Stolen Stars,
Super Mario The Stolen Stars,1.1,JakeDower,,2023-02-23,Super Mario The Stolen Stars (final),
Parallel Stars,1.3,Funila & Rambi_Rampage,151,2023-01-07,PARALLEL STARS 1.3,
Parallel Stars,1.3.1,Funila & Rambi_Rampage,151,2023-01-08,PARALLEL STARS 1.3.1,
Parallel Stars,1.4,Funila & Rambi_Rampage,151,2023-03-01,PARALLEL STARS 1.4,
Super Mario 74,1.12 hotfix,Lugmillord (& others),151,2023-02-28,Super_Mario_74_v1.12_hotfix,
Super Mario 74,1.12 hotfix 2,Lugmillord (& others),151,2023-03-04,Super_Mario_74_v1.12_Hotfix_2,
Super Mario 74 Extreme Edition,Lite Edition,Lugmillord & FrostyZako,157,2023-03-08,Super_Mario_74_Extreme_Edition_Lite,
SM64 Lost Universe 2 - Curse of Eternity,Demo 5 4.17,Bubby64,,2021-07-12,LU2_v4.17,
Super Joan Bros 64 Green Stars,Beta,Joan Bros,41,2023-02-12,Super_Joan_bros_64_gs,
Classic Skylands,Casual Edition,Tomatobird8,7,2023-03-14,classic_skylands - casual,
The Magical Lands,1.0,Papra_Mayro_46,43,2023-02-02,The Magical Lands,
SM64 Return of Wrath,0.5,NormalX71,89,2023-03-17,SM64 Return of Wrath v0.5.0,
Super Mario Invasion of Chuckya,1.0.9,Kougahai,,2023-03-20,SM_Invasion_of_Chuckya ver1.0.9,
P Rank 64,1.0,CowQuack,120,2023-03-22,P Rank 64,
CBT,Demo,Iwer Sonsch,6,2023-03-23,CBT_demo_6_stars,
Phenomena,1.3.3,Nobbie & various,120,2023-03-26,Phenomena_v1.3.3,
7 Stars,1.0,Viper,7,2023-03-24,7_stars,
7 Stars,1.1,Viper,7,2023-03-25,7_stars (1),
7 Stars,1.2,Viper,7,2023-03-26,7_stars (2),
Super Mario 74,1.12 hotfix 2.1,Lugmillord (& others),151,2023-03-04,Super Mario 74 (v1.12 hotfix 2.1),
Super Luigi 64 Bowser's Return,1.2 Bug Fix Deutsch,marioplayer6458,131,2014-05-30,Super_Luigi_64_Bowsers_Return,
Super Mario 74,Demo 1,Lugmillord,40,2010-11-17,Super Mario 74 Demo1,
Super Mario 74,0.9.1 English,Lugmillord,40,2011-05-15,Super Mario 74E V0.9.1,
Super Mario 74,1.1b English,Lugmillord,151,2011-05-23,Super Mario 74E V1.1b,
Super Mario 74,1.2c English,Lugmillord,151,2011-06-14,Super Mario 74E V1.2c,
Super Mario 74,1.3b English,Lugmillord,151,2012-03-28,Super Mario 74E V1.3b,
7 Stars,1.3,Viper,7,2023-03-28,7_stars_,
WAV Import Test Green Comet,1.0,GmdDoesDMG,7,2023-04-01,gmdchallenge,
Insanity Clause,1.0,DanGPTV,,2023-04-02,Insanity_Clause,
Nothing 64,1.0,Joan Bros & Ozsef,,2023-04-01,Nothing_64_for_real_this_time,
Remnants of Memory,2.0,Tottori,14,2023-04-03,Remnants_of_memory_Ver2.0,
shuri,1.0,Viper,3,2023-04-01,shuri,
Super Joan Bros 64 Redone Green Comet,1.0,Joan Bros & Ozsef,40,2023-04-01,Super_Joan_Bros_64_Redone_Green_Comet,
Super Joan Bros 64 Redone Green Comet,1.1,Joan Bros & Ozsef,40,2023-04-04,Super_Joan_Bros_64_Redone_Green_Comet_v1.1,
The Final Tragedy,1.0,Viper,54,2023-04-03,the_final_tragedy,
The Final Tragedy,1.1,Viper,54,2023-04-05,the_final_tragedy 1.1,
Tox Box Simulator,1.0,CowQuack,,2023-04-01,Tox Box Simulator,
Vanilla but I Deleted a Bunch of Random Objects,1.0,ShiN3,118,2023-03-27,Vanilla_but_I_Deleted_a_Bunch_of_Random_Objects,
Vanilla but I Deleted a Bunch of Random Objects,1.1,ShiN3,120,2023-03-28,Vanilla_but_I_Deleted_a_Bunch_of_Random_Objects_v1.1,
Viper Playground,1.0,Viper,7,2023-03-30,Viper_PlayGround,
Super Mario Stellato 1.5,1.0.2,Rulu & Itsri,107,2023-04-07,SM64_Stellato_182_v1.0.2 pj2.3 and 3.0.1,
SM64 Rocky Mountain Revisited,1.0,DavidHolandaOne,7,2023-04-26,SM64 Rocky Mountain Revisited,
Confy's Benevolent Trials,Demo,Iwer Sonsch,7,2023-05-01,CBT_demo_7_stars,
24 Hour Hack,1.4,DNVIC,25,2023-05-02,24_Hour_Hack_v1.4,
Chip's Challenge 64,2.0,Rovert,,2023-04-15,CC64_2.0,
Movement Mastery 4,1.0,Leaze,49,2023-04-30,movement-mastery-4,
Remnants of Memory,2.5 1.0,Tottori,14,2023-04-20,Remnants_of_memory_Ver2.5,
Remnants of Memory,2.5 1.1,Tottori,14,2023-04-21,Remnants_of_memory_Ver2.5.1_1,
Sere Quietude 64,1.0,gr6g,64,2023-05-01,Sere Quietude 64 1.0,
Sere Quietude 64,1.0.1,gr6g,64,2023-05-01,Sere Quietude 64 1.0.1,
Super Mario 74,1.12 hotfix 3,Lugmillord (& others),151,2023-04-17,Super_Mario_74_v1.12_Hotfix_3,
Viper's Kingdom,1.0,Viper,75,2023-04-29,Vipers_Kingdom,
Viper's Kingdom,1.1,Viper,75,2023-05-02,Vipers_Kingdom 1.1,
SM64 The Green Stars,3.2 Classic Edition,Kampel125 (& others),130,,SM64 The Green Stars v3.2 (Classic),
SM64 The Green Stars,3.2 Definitive Edition,Kampel125 (& others),130,,SM64 The Green Stars v3.2 (Definitive),
SM64 The Green Stars,3.3,Kampel125 (& others),130,2023-04-22,SM64 The Green Stars v3.3,
Insanity Cauldron,1.3,Galacta & MorningStorm & ShiN3,99,2023-05-11,Insanity_Cauldron_v1.3,
Super Mario 74: The Final Frontier,0.1,Stella,18,2023-05-14,Super_Mario_74_The_Final_Frontier_v0.1,
Super Mario 74: The Final Frontier,0.11,Stella,18,2023-05-15,Super_Mario_74_The_Final_Frontier_v0.11,
SM64: Beyond the Cursed Mirror,1.0,Rovert,120,2023-05-19,BTCM_1.0,
SM64: Beyond the Cursed Mirror,1.1,Rovert,120,2023-05-19,BTCM_1.1,
SM64: Beyond the Cursed Mirror,1.1.1,Rovert,120,2023-05-19,BTCM_1.1.1,
Super Joan Bros 64 Redone Green Comet,1.2,Joan Bros & Ozsef,40,2023-05-29,Super_Joan_Bros_64_Redone_Green_Comet_v1.2,
B3313,Abandoned 1.0 Beta,Christopher Rios Lillo,,2023-05-30,b3313_abandoned,
Broken Mario 64,Demo,8_Bit,,2016-01-01,Broken_Mario_64_-_8_bit,
Unnamed Hack by TristanBomb,Demo,TristanBomb,,2017-01-01,Unnamed_Hack_-_TristanBomb,
Eternal Endless Season Lite,Demo v0.1,MorningStorm,,2023-06-03,Eternal_Endless_Season_Lite_Demo_v0.1,
SM64: Beyond the Cursed Mirror,1.2,Rovert,120,2023-06-05,BTCM_1.2,
Sign Invasion,Demo,Viper,,2023-06-09,sign_invasion_demo_,
Slope Challenge,1.0,Redmat527,,2023-06-11,Slope Challenge,
SM64 Sapphire,1.1,Nebula,30,2022-12-31,SM64 Sapphire 1.1,
Input Delay Tester,1.0,aglab2,,2023-05-31,input_delay_tester,
Super Mario 74 - Ten Years After,2.74.3 Super Deluxe,LinCrash,155,2023-06-12,Super Mario 74 - Ten Years After (Super Deluxe),
Super Mario 74 - The Twelve Year Comet,1.0,LinCrash,100,2023-06-12,Super Mario 74 - The Twelve Year Comet (Final),
Super Mario 74 - The Twelve Year Comet,1.1,LinCrash,100,2023-06-12,Super_Mario_74_-_The_Twelve_Year_Comet_v1.1,
Super Mario 74 - The Twelve Year Comet,1.1.1,LinCrash,100,2023-06-12,Super_Mario_74_-_The_Twelve_Year_Comet_v.1.1.1,
Super Mario 74 - The Twelve Year Comet,1.2,LinCrash,100,2023-06-12,Super_Mario_74_-_The_Twelve_Year_Comet_v1.2,
Super Mario 74 - The Twelve Year Comet,1.3,LinCrash,100,2023-06-12,Super_Mario_74_-_The_Twelve_Year_Comet_v1.3,
Super E3 2019 Edition,1.0,Pyro Jay,,2023-06-14,Super E3 2019 Edition,
Super Mario Star Road: The Green Comet,1.2 English,Skelux & Biobak,150,,Super Mario Star Road - The Green Comet (v1.2) (English),
Super Mario Star Road: The Green Comet,1.2 Francais,Skelux & Biobak,150,,Super Mario Star Road - The Green Comet (v1.2) (Francais),
Super Mario Star Road: The Green Comet,1.3 English,Skelux & Biobak,150,,Super Mario Star Road - The Green Comet (v1.3) (English),
Super Mario Star Road: The Green Comet,1.3 Francais,Skelux & Biobak,150,,Super Mario Star Road - The Green Comet (v1.3) (Francais),
Super Mario Star Road: The Green Comet,1.4 English,Skelux & Biobak,150,,Super Mario Star Road - The Green Comet (v1.4) (English),
Super Mario Star Road: The Green Comet,1.4 Francais,Skelux & Biobak,150,,Super Mario Star Road - The Green Comet (v1.4) (Fran�ais),
Super Mario 64 - Cursed mirror prequal,1.0,KeyBlader,120,2023-03-31,Super Mario 64- Cursed mirror prequal,
Luigi Time 64,1.0,AICoverMAN,,2023-06-25,myromhack_a,
Luigi Time 64,1.1,AICoverMAN,,2023-06-26,myromhack_a (1),
Funky Delilah 95,4.0,TheShortSonic64 & XKoop7321 & papartrash97 & TheJosh347 & KrazyGryo,,2023-06-21,FD95 4.0,
Evolution of Mario,1.0,tech_hutch,2,2021-05-15,Evolution of Mario,Mario Jams Evolution Competition
Convenient Conceit Coffin,1.0,mokkyun,3,2023-01-08,Convenient_Conceit_Coffin_ver1.0.0,
Convenient Conceit Coffin,1.1,mokkyun,3,2023-01-08,Convenient_Conceit_Coffin_ver1.1.0,
Convenient Conceit Coffin,1.2,mokkyun,3,2023-01-08,Convenient_Conceit_Coffin_ver1.2.0,
Combination Madness,1.0,viper & Redmat527,1,2023-06-20,Combination_Madness,
Combination Madness,1.1,viper & Redmat527,1,2023-06-20,Combination_Madness (1),
Combination Madness,1.2,viper & Redmat527,1,2023-06-21,Combination_Madness (2),
SM64: Beyond the Cursed Mirror,1.2.1,Rovert,120,2023-06-05,BTCM_1.2.1,
Super Mario 65 - The Rainbow Stars,1.4,Skelenio,164,,Super Mario 65 - The Rainbow Stars (SM64 Hack by SKELENIO) (v1.4),
Celestio 64,Demo v1.0.2,thecozies,14,2022-02-28,Celestio 64 v1.0.2,
Super Joan Bros 64 3,Demo 1.0,Joan Bros & Woissil & Tomatobird8 & KingToad64 & Cryogen & LinCrash,60,2023-07-04,SJB64_3_60_star_demo,
Super Joan Bros 64 3,Demo 1.0.1,Joan Bros & Woissil & Tomatobird8 & KingToad64 & Cryogen & LinCrash,60,2023-07-04,SJB64_3_60_star_demo_real_real,
Super Joan Bros 64 3,Demo 1.1,Joan Bros & Woissil & Tomatobird8 & KingToad64 & Cryogen & LinCrash,60,2023-07-04,SJB64_3_60_star_demo_1.1,
SM64 Randomizer,1.0.1,Arthurtilly,120,,SM64 Randomizer v1.0.1,
SM64 Randomizer,1.1.1,Arthurtilly,120,,SM64 Randomizer (v1.1.1),
Firsties Challenge Redone,1.0,MBCollector672,,2023-07-15,Firsties_Challenge_Redone,
Eternal Realm,1.0,SomeBro,47,2023-07-15,Eternal Realm,
Eternal Realm,1.0.1,SomeBro,47,2023-07-16,Eternal Realm,
Super Mario 74,1.12 hotfix 4,Lugmillord (& others),151,2023-07-18,Super_Mario_74_v1.12_Hotfix_4,
Mario and the Devastated Macrocosm,Demo 3,JaydenSM64,30,2022-09-01,Mario and the Devastated Microcosm Final,
Katze Stuck in the Cancellation 64,1.0,MorningStorm,,2023-07-12,katze_Stuck_in_the_Cancellation_64,
SM64 Randomizer,1.1.2,Arthurtilly,120,,SM64 Randomizer (v1.1.2),
Super Mario 64 - Twisted Adventures: Intense Challenge - The Revival,DNVIC's Patch Beta,Tomatobird8 & SomeRussianMarioDude & DNVIC,161,2023-07-10,TAIC_dnvic_patch_beta,
Super Mario 64 - Twisted Adventures: Intense Challenge - The Revival,DNVIC's Patch,Tomatobird8 & SomeRussianMarioDude & DNVIC,162,2023-07-15,TAIC_dnvic_patch,
Viper's Inglorious Playground,1.0,Viper & LinCrash,8,2023-07-06,VIP_v1.0,
Super Mario Through The Comet,1.0,YourBoi,18,2023-07-13,Super_Mario_Through_The_Comet,
Super Mario Through The Comet,1.1,YourBoi,18,2023-07-13,Super Mario Through The Comet V1.1,
Super Hell 64,1.0,Croquedead,120,2019-04-11,Super Hell 64,
X Super Luigi 64 - Trolling Edition,1.0,TheLegendofYoshi13,118,2013-08-11,X Super Luigi 64 - Trolling Edition,
SM64 Lost Star Planet Extreme,1.0,santigtgamer,80,2022-10-12,sm64_lost_star_planet_extreme_o,
SM64 Lost Star Planet Extreme,1.0.1,santigtgamer,80,2022-10-12,sm64_lost_star_planet_extreme_fix,
SM64 Lost Star Planet Extreme,1.1,santigtgamer,95,2022-10-18,sm64_lost_star_planet_extreme_O_1.1,
Skycastle 64,1.0,Ginson,10,2023-07-11,Skycastle V 1.0,
Skycastle 64,1.1,Ginson,10,2023-07-11,Skycastle v.1.1,
Only Up 64,1.0,Kaze,1,2023-07-30,OnlyUp64,SimpleFlips Competition 16
Only Up 64,1.0.1,Kaze,1,2023-07-30,Only Up 64,SimpleFlips Competition 16
64Modder's Castle Grounds Remake,1.0,64Modder,,2023-07-30,Castle Grounds Remake,
Super Mario 74,1.12 hotfix 4.1,Lugmillord (& others),151,2023-07-18,Super_Mario_74_v1.12_Hotfix_4_,
Super Mario 74 Extreme Edition,Lite Edition 1.1,Lugmillord & FrostyZako,157,2023-03-15,Super_Mario_74_Extreme_Edition_Lite_v1.1,
Super Mario 74 Extreme Edition,Lite Edition 1.2,Lugmillord & FrostyZako,157,2023-03-17,Super_Mario_74_Extreme_Edition_Lite_v1.2,
Super Mario 74 Extreme Edition,Lite Edition 1.2.1,Lugmillord & FrostyZako,157,2023-07-31,Super_Mario_74_Extreme_Edition_Lite_v1.2_,
SM64 The Green Stars,3.3 Hotfix,Kampel125 (& others),130,2023-07-31,SM64_The_Green_Stars_v3.3_Hotfix,
Sere Quietude 64,Star Road OST Version,gr6g & LinCrash,64,2023-05-01,Sere_Quietude_64_Star_Road_OST_Version,
Agy's Stupid Shitpost 64,1.0,Agyroth,,2023-05-22,Agys_Stupid_Shitpost_64,
CCCSA,0,scuttlebug_raiser,,2023-07-31,CCCSA_v0,
Kaizo Night of Doom,1.0,KingToad64 & BroDute,,2023-07-19,Kaizo_NoD,
B3313,1.0,Christopher Rios Lillo & others,415,2023-08-01,b3313 unabandoned,
SM64 The Green Stars,3.3 Console Compatible,Kampel125 (& others),130,2023-08-20,gs-n64,
SM64 The Green Stars,3.4 Console Compatible,Kampel125 (& others),130,2023-08-22,gs3.4-n64,
Katze Stuck in the Toilet 64,1.2 Console Compatible,Tomatobird8 & aglab2,40,2023-08-23,ksitt_n64,
Super Mario 96,Alpha 6,Diego insano,,2023-08-30,ALPHA6X,
Super Mario 96,Alpha 7,Diego insano,,2023-08-30,7.0_aplha,
B3313,1.0 Hotfix 1,Christopher Rios Lillo & others,415,2023-08-28,b3313 unabandoned [a1],
64Modder's Bob-omb Battlefield Remake,1.0,64Modder,7,2023-09-03,Bob-Omb Battlefield Remake,
Buffed Stars Volume 1,1.0,MorningStorm,,,Buffed_Stars_Volume_1,
Mario 64 Seasons,Revision 1,nutta,6,2023-08-28,mario64seasonsrev1,
SM64 but EVERY STAR is cut in half,1.0,Arthurtilly,60,2023-08-30,halfastar,
Mario and the Forgotten Adventures,1.0,TheWWMResident,72,2023-08-07,Mario_and_the_Forgotten_Adventures_v1.0,
Mario and the Forgotten Adventures,1.1,TheWWMResident,72,2023-08-08,Mario_and_the_Forgotten_Adventures_v1.1,
Movement Mastery 5,1.0,Leaze,35,2023-09-03,movement_mastery_5,
Night of Dum,1.0,MemphisSR,,2023-08-27,Night_of_Dum eeprom,
Only Up 64,1.1,Kaze,1,2023-08-05,Only Up 64 1.1,SimpleFlips Competition 16
SM64 With Bonus Vertical Interrupts,1.0,hyena_chan,120,2023-09-04,sm64_with_bonus_vertical_interrupts,
SM74E0 - The Red Stars,1.0.1,Lugmillord & Cavin856,99,2023-08-12,SM74E0_-_The_Red_Stars 1.0.1,
The Eccentric Detour,1.1,nuwitch07,,2023-08-07,The_Eccentric_Detour_ver.1.1,
The Eccentric Detour,1.4,nuwitch07,,2023-08-30,The_Eccentric_Detour_ver1.4,
SM64 The Green Stars,3.4.1 Console Compatible,Kampel125 (& others),131,2023-09-02,gs341,
SM64 The Green Stars,3.4.2 Console Compatible,Kampel125 (& others),131,2023-09-04,gs342,
Mario's New Earth,1.0 Console Compatible,PixelSM64 (& aglab2),125,2023-08-31,mne_1.0c_cc,
Mario's New Earth,1.1 Console Compatible,PixelSM64 (& aglab2),125,2023-09-02,mne_1.1_cc,
Super Mario 64 1.5 - Ztar Attack Rebooted,1.2 Hotfix,aglab2 & TheGael95,170,2023-09-02,zar_1.2f,
God Gamers,1.0,zaoldieck,1,2023-09-07,God Gamers,
God Gamers,1.1,zaoldieck,1,2023-09-07,God_Gamer_v1.1,
God Gamers,1.2,zaoldieck,1,2023-09-08,God Gamer v1.2,
God Gamers,1.3,zaoldieck,1,2023-09-08,God_Gamers_v1.3,
Vipers Challenge 2,1.0,Viper,1,2023-09-05,Vipers_Challenge_2,
Vipers Challenge 2,1.1,Viper,1,2023-09-05,Vipers_Challenge_2,
The 1000 Star Hack,1.0,CowQuack,1000,2023-09-05,stupid hack,
Silver Stars of Wisdom,1.0.2,various,159,2023-09-07,Silver_Stars_of_Wisdom_v1.0.2,
An Adventure and a Half,1.0,Dan-GPTV,2,2023-09-05,An Adventure and a Half,
Super Mario Endless Journey,Beta 3.0,LesteR,,2023-09-14,Super Mario Endless Journey ver.beta3.0,
Melancholy of Geometry,1.0,Fearl,1,2023-09-14,Melancholy_of_Geometry,
Melancholy of Geometry,1.0.1,Fearl,1,2023-09-14,Melancholy of Geometry(fix),
Super Mario 96,Alpha 8,Diego insano,,2023-09-17,alpha8,
SM64 Stars of Reincarnation,1.0,Caasje,124,2023-09-27,SM64_Stars_of_Reincarnation,
Cheesester's Castle Grounds,1.0,Cheesester,,2023-09-27,sm64 cheesester castle grounds,
SM64 Stars of Reincarnation,1.0,Caasje,124,2023-09-28,SM64_Stars_of_Reincarnation_1.0.1,
Takua 64 (Bionicle64),1.0 No Music,Superstupidy,99,2023-09-28,Takua 64 (NO MUSIC) Build,
SM64 Green Demon Challenge (Arthurtilly Version),finalfinal,Arthurtilly,120,2023-09-28,demonfinalfinal,
Super Mario and the Monstrous Manor,1.0,MrComit,,2023-09-29,Monstrous Manor v1.0,
Super Mario and the Monstrous Manor,1.0.1,MrComit,,2023-09-29,Monstrous Manor v1.0.1,
Tower of Delight,1.0,Mese & others,140,2023-09-28,Tower_of_Delight,
Tower of Delight,1.0.1,Mese & others,140,2023-09-30,Tower_of_Delight_v1.0.1,
SM64 Stars of Reincarnation,1.1,Caasje,124,2023-10-01,SM64_Stars_of_Reincarnation_v1.1,
SM64 Stars of Reincarnation,1.1.1,Caasje,124,2023-10-01,SM64_Stars_of_Reincarnation_v1.1.1,
SM64 All Stars,1.0,devwizard,2147483647,2023-09-07,SM64 ALL_STARS,
